Comunidades y Ciudades AutÛnomas;TamaÒo de los municipios;Periodo;Total
Total;Total;2021;47.385.107
Total;Total;2020;47.450.795
Total;Total;2019;47.026.208
Total;Total;2018;46.722.980
Total;Total;2017;46.572.132
Total;Total;2016;46.557.008
Total;Total;2015;46.624.382
Total;Total;2014;46.771.341
Total;Total;2013;47.129.783
Total;Total;2012;47.265.321
Total;Total;2011;47.190.493
Total;Total;2010;47.021.031
Total;Total;2009;46.745.807
Total;Total;2008;46.157.822
Total;Total;2007;45.200.737
Total;Total;2006;44.708.964
Total;Total;2005;44.108.530
Total;Total;2004;43.197.684
Total;Total;2003;42.717.064
Total;Total;2002;41.837.894
Total;Total;2001;41.116.842
Total;Total;2000;40.499.791
Total;Total;1999;40.202.160
Total;Total;1998;39.852.651
01 AndalucÌa;Total;2021;8.472.407
01 AndalucÌa;Total;2020;8.464.411
01 AndalucÌa;Total;2019;8.414.240
01 AndalucÌa;Total;2018;8.384.408
01 AndalucÌa;Total;2017;8.379.820
01 AndalucÌa;Total;2016;8.388.107
01 AndalucÌa;Total;2015;8.399.043
01 AndalucÌa;Total;2014;8.402.305
01 AndalucÌa;Total;2013;8.440.300
01 AndalucÌa;Total;2012;8.449.985
01 AndalucÌa;Total;2011;8.424.102
01 AndalucÌa;Total;2010;8.370.975
01 AndalucÌa;Total;2009;8.302.923
01 AndalucÌa;Total;2008;8.202.220
01 AndalucÌa;Total;2007;8.059.461
01 AndalucÌa;Total;2006;7.975.672
01 AndalucÌa;Total;2005;7.849.799
01 AndalucÌa;Total;2004;7.687.518
01 AndalucÌa;Total;2003;7.606.848
01 AndalucÌa;Total;2002;7.478.432
01 AndalucÌa;Total;2001;7.403.968
01 AndalucÌa;Total;2000;7.340.052
01 AndalucÌa;Total;1999;7.305.117
01 AndalucÌa;Total;1998;7.236.459
02 AragÛn;Total;2021;1.326.261
02 AragÛn;Total;2020;1.329.391
02 AragÛn;Total;2019;1.319.291
02 AragÛn;Total;2018;1.308.728
02 AragÛn;Total;2017;1.308.750
02 AragÛn;Total;2016;1.308.563
02 AragÛn;Total;2015;1.317.847
02 AragÛn;Total;2014;1.325.385
02 AragÛn;Total;2013;1.347.150
02 AragÛn;Total;2012;1.349.467
02 AragÛn;Total;2011;1.346.293
02 AragÛn;Total;2010;1.347.095
02 AragÛn;Total;2009;1.345.473
02 AragÛn;Total;2008;1.326.918
02 AragÛn;Total;2007;1.296.655
02 AragÛn;Total;2006;1.277.471
02 AragÛn;Total;2005;1.269.027
02 AragÛn;Total;2004;1.249.584
02 AragÛn;Total;2003;1.230.090
02 AragÛn;Total;2002;1.217.514
02 AragÛn;Total;2001;1.199.753
02 AragÛn;Total;2000;1.189.909
02 AragÛn;Total;1999;1.186.849
02 AragÛn;Total;1998;1.183.234
03 Asturias;Total;2021;1.011.792
03 Asturias;Total;2020;1.018.784
3 Asturias;Total;2019;1.022.800
3 Asturias;Total;2018;1.028.244
3 Asturias;Total;2017;1.034.960
3 Asturias;Total;2016;1.042.608
3 Asturias;Total;2015;1.051.229
3 Asturias;Total;2014;1.061.756
3 Asturias;Total;2013;1.068.165
3 Asturias;Total;2012;1.077.360
3 Asturias;Total;2011;1.081.487
3 Asturias;Total;2010;1.084.341
3 Asturias;Total;2009;1.085.289
3 Asturias;Total;2008;1.080.138
3 Asturias;Total;2007;1.074.862
3 Asturias;Total;2006;1.076.896
3 Asturias;Total;2005;1.076.635
3 Asturias;Total;2004;1.073.761
3 Asturias;Total;2003;1.075.381
3 Asturias;Total;2002;1.073.971
3 Asturias;Total;2001;1.075.329
3 Asturias;Total;2000;1.076.567
3 Asturias;Total;1999;1.084.314
3 Asturias;Total;1998;1.081.834
04 Islas Baleares;Total;2021;1.173.008
04 Islas Baleares;Total;2020;1.171.543
4 Islas Baleares;Total;2019;1.149.460
4 Islas Baleares;Total;2018;1.128.908
4 Islas Baleares;Total;2017;1.115.999
4 Islas Baleares;Total;2016;1.107.220
4 Islas Baleares;Total;2015;1.104.479
4 Islas Baleares;Total;2014;1.103.442
4 Islas Baleares;Total;2013;1.111.674
4 Islas Baleares;Total;2012;1.119.439
4 Islas Baleares;Total;2011;1.113.114
4 Islas Baleares;Total;2010;1.106.049
4 Islas Baleares;Total;2009;1.095.426
4 Islas Baleares;Total;2008;1.072.844
4 Islas Baleares;Total;2007;1.030.650
4 Islas Baleares;Total;2006;1.001.062
4 Islas Baleares;Total;2005;983.131
4 Islas Baleares;Total;2004;955.045
4 Islas Baleares;Total;2003;947.361
4 Islas Baleares;Total;2002;916.968
4 Islas Baleares;Total;2001;878.627
4 Islas Baleares;Total;2000;845.630
4 Islas Baleares;Total;1999;821.820
4 Islas Baleares;Total;1998;796.483
05 Canarias;Total;2021;2.172.944
05 Canarias;Total;2020;2.175.952
05 Canarias;Total;2019;2.153.389
05 Canarias;Total;2018;2.127.685
05 Canarias;Total;2017;2.108.121
05 Canarias;Total;2016;2.101.924
05 Canarias;Total;2015;2.100.306
05 Canarias;Total;2014;2.104.815
05 Canarias;Total;2013;2.118.679
05 Canarias;Total;2012;2.118.344
05 Canarias;Total;2011;2.126.769
05 Canarias;Total;2010;2.118.519
05 Canarias;Total;2009;2.103.992
05 Canarias;Total;2008;2.075.968
05 Canarias;Total;2007;2.025.951
05 Canarias;Total;2006;1.995.833
05 Canarias;Total;2005;1.968.280
05 Canarias;Total;2004;1.915.540
05 Canarias;Total;2003;1.894.868
05 Canarias;Total;2002;1.843.755
05 Canarias;Total;2001;1.781.366
