,Año,Ciudad,Valor
0,2012,Albacete,172583
1,2012,Alcalá de Henares,204374
2,2012,Alcobendas,111618
3,2012,Alcorcón,169541
4,2012,Algeciras,115597
5,2012,Alicante,334865
6,2012,Almería,192070
7,2012,Badajoz,151446
8,2012,Badalona,220343
9,2012,Baracaldo,100436
10,2012,Barcelona,1616383
11,2012,Bilbao,350493
12,2012,Burgos,179502
13,2012,Cádiz,123469
14,2012,Cartagena,217148
15,2012,Castellón de la Plana,180195
16,2012,Córdoba,328773
17,2012,A Coruña,246035
18,2012,Donostia - San Sebastián,186455
19,2012,Dos Hermanas,129257
20,2012,Elche,230406
21,2012,Fuenlabrada,197826
22,2012,Getafe,171903
23,2012,Gijón,276504
24,2012,Granada,238418
25,2012,Hospitalet de Llobregat,255557
26,2012,Huelva,148335
27,2012,Jaén,116454
28,2012,Jérez de la Frontera,211785
29,2012,Leganés,187060
30,2012,León,131141
31,2012,Lleida,139822
32,2012,Logroño,153234
33,2012,MADRID,3220387
34,2012,Málaga,567956
35,2012,Marbella,141246
36,2012,Mataró,124092
37,2012,Móstoles,206241
38,2012,Murcia,439800
39,2012,Ourense,107570
40,2012,Oviedo,225531
41,2012,Palma de Mallorca,402905
42,2012,Palmas de Gran Canaria,382673
43,2012,Pamplona,197280
44,2012,Parla,124921
45,2012,Reus,107001
46,2012,Sabadell,207794
47,2012,Salamanca,150788
48,2012,San Cristóbal de La Laguna,152471
49,2012,Santa Coloma de Gramanet,120311
50,2012,Santa Cruz de Tenerife,206779
51,2012,Santander,177794
52,2012,Sevilla,701262
53,2012,Tarragona,133750
54,2012,Telde,101735
55,2012,Terrassa,215367
56,2012,Torrejón de Ardoz,124546
57,2012,Torrevieja,104463
58,2012,Valencia,794666
59,2012,Valladolid,310608
60,2012,Vigo,296917
61,2012,Vitoria-Gasteiz,241805
62,2012,Zaragoza,680814
63,2011,Albacete,172000
64,2011,Albacete,171931
65,2011,Alcalá de Henares,200505
66,2011,Alcalá de Henares,203805
67,2011,Alcobendas,110350
68,2011,Alcobendas,110373
69,2011,Alcorcón,167215
70,2011,Alcorcón,168916
71,2011,Algeciras,117695
72,2011,Algeciras,117364
73,2011,Alicante,227415
74,2011,Alicante,334504
75,2011,Almería,189680
76,2011,Almería,190896
77,2011,Badajoz,151215
78,2011,Badajoz,151918
79,2011,Badalona,219240
80,2011,Badalona,220382
81,2011,Baracaldo,100065
82,2011,Barcelona,1611010
83,2011,Barcelona,1618196
84,2011,Bilbao,351355
85,2011,Bilbao,352165
86,2011,Burgos,178865
87,2011,Burgos,179579
88,2011,Cádiz,124015
89,2011,Cádiz,124420
90,2011,Cartagena,215755
91,2011,Cartagena,215787
92,2011,Castellón de la Plana,176300
93,2011,Castellón de la Plana,180159
94,2011,Córdoba,328325
95,2011,Córdoba,328750
96,2011,A Coruña,245055
97,2011,A Coruña,246087
98,2011,Donostia - San Sebastián,185510
99,2011,Donostia - San Sebastián,186297
100,2011,Dos Hermanas,128435
101,2011,Dos Hermanas,128085
102,2011,Elche,329325
103,2011,Elche,230471
104,2011,Fuenlabrada,196985
105,2011,Fuenlabrada,198346
106,2011,Getafe,168640
107,2011,Getafe,170698
108,2011,Gijón,276970
109,2011,Gijón,277646
110,2011,Granada,241005
111,2011,Granada,239558
112,2011,Hospitalet de Llobregat,256510
113,2011,Hospitalet de Llobregat,256561
114,2011,Huelva,147810
115,2011,Huelva,148743
116,2011,Jaén,116470
117,2011,Jaén,116756
118,2011,Jérez de la Frontera,211785
119,2011,Jérez de la Frontera,211381
120,2011,Leganés,185760
121,2011,Leganés,186839
122,2011,León,131410
123,2011,León,132212
124,2011,Lleida,137285
125,2011,Lleida,139125
126,2011,Logroño,152700
127,2011,Logroño,153022
128,2011,MADRID,3198645
129,2011,MADRID,3249283
130,2011,Málaga,561435
