,Ciudad,Año,Valor
0,Albacete,2012,172583
1,Alcalá de Henares,2012,204374
2,Alcobendas,2012,111618
3,Alcorcón,2012,169541
4,Algeciras,2012,115597
5,Alicante,2012,334865
6,Almería,2012,192070
7,Badajoz,2012,151446
8,Badalona,2012,220343
9,Baracaldo,2012,100436
10,Barcelona,2012,1616383
11,Bilbao,2012,350493
12,Burgos,2012,179502
13,Cádiz,2012,123469
14,Cartagena,2012,217148
15,Castellón de la Plana,2012,180195
16,Córdoba,2012,328773
17,A Coruña,2012,246035
18,Donostia - San Sebastián,2012,186455
19,Dos Hermanas,2012,129257
20,Elche,2012,230406
21,Fuenlabrada,2012,197826
22,Getafe,2012,171903
23,Gijón,2012,276504
24,Granada,2012,238418
25,Hospitalet de Llobregat,2012,255557
26,Huelva,2012,148335
27,Jaén,2012,116454
28,Jérez de la Frontera,2012,211785
29,Leganés,2012,187060
30,León,2012,131141
31,Lleida,2012,139822
32,Logroño,2012,153234
33,MADRID,2012,3220387
34,Málaga,2012,567956
35,Marbella,2012,141246
36,Mataró,2012,124092
37,Móstoles,2012,206241
38,Murcia,2012,439800
39,Ourense,2012,107570
40,Oviedo,2012,225531
41,Palma de Mallorca,2012,402905
42,Palmas de Gran Canaria,2012,382673
43,Pamplona,2012,197280
44,Parla,2012,124921
45,Reus,2012,107001
46,Sabadell,2012,207794
47,Salamanca,2012,150788
48,San Cristóbal de La Laguna,2012,152471
49,Santa Coloma de Gramanet,2012,120311
50,Santa Cruz de Tenerife,2012,206779
51,Santander,2012,177794
52,Sevilla,2012,701262
53,Tarragona,2012,133750
54,Telde,2012,101735
55,Terrassa,2012,215367
56,Torrejón de Ardoz,2012,124546
57,Torrevieja,2012,104463
58,Valencia,2012,794666
59,Valladolid,2012,310608
60,Vigo,2012,296917
61,Vitoria-Gasteiz,2012,241805
62,Zaragoza,2012,680814
