,Nombre,Población,Porcentaje población,Densidad (hab./km²),Superficie (km²),Porcentaje superficie,PIB per cápita en € (2021)
0,Andalucía,8500187,"17,87%","97,05",87599,"17,31%",18906
1,Cataluña,7792611,"16,38%","238,84",32113,"6,35%",29942
2,Madrid ,6750336,"14,24%","841,15",8028,"1,59%",34821
3,Comunidad Valenciana ,5097967,"10,67%","216,98",23255,"4,60%",22289
4,Galicia,2690464,"5,68%","91,19",29575,"5,84%",23499
5,Castilla y León ,2372640,"5,02%","25,34",94224,"18,62%",24428
6,País Vasco ,2208174,"4,67%","302,13",7234,"1,43%",32925
7,Canarias ,2177701,"4,58%","301,39",7447,"1,47%",18990
8,Castilla-La Mancha,2053328,"4,32%","25,79",79461,"15,70%",20655
9,Región de Murcia ,1531878,"3,20%","133,74",11314,"2,24%",21236
10,Aragón,1326315,"2,79%","27,9",47720,"9,43%",28912
11,Islas Baleares ,1176659,"2,47%","244,27",4992,"0,99%",24866
12,Extremadura,1054776,"2,23%","25,41",41634,"8,23%",19072
13,Asturias ,1004686,"2,14%","95,53",10604,"2,13%",23235
14,Navarra,664117,"1,39%","63,3",10391,"2,05%",31024
15,Cantabria,585402,"1,23%","109,74",5321,"1,05%",23730
16,La Rioja,319892,"0,67%","62,67",5045,"1,00%",27279
17,Melilla,85170,"0,18%","7001,58",12,"<0,01 %",19266
18,Ceuta ,83117,"0,18%","4175,1",20,"<0,01 %",21244
19,España ,47475420,100%,"93,67",505990,100%,25498
