Posición,Ciudad,País,Población
1,Tokio,Japón,49400000
2,Cantón,China,46700000
3,Shanghái,China,33600000
4,Yakarta,Indonesia,31300000
5,Delhi,India,30300000
6,Manila,Filipinas,25700000
7,Bombay,India,25100000
8,São Paulo,Brasil,22800000
9,Ciudad de México,México,22700000
10,Nueva York,Estados Unidos,22675000
11,Seúl,Corea del Sur,22500000
12,El Cairo,Egipto,21000000
13,Daca,Bangladés,20200000
14,Pekín,China,19800000
15,Lagos,Nigeria,19400000
16,Bangkok,Tailandia,18800000
17,Karachi,Pakistán,17800000
18,Buenos Aires,Argentina,17700000
19,Cantón,China,17700000
20,Osaka,Japón,17700000
21,Los Ángeles,Estados Unidos,17500000
22,Moscú,Rusia,17300000
23,Calcuta,India,16800000
24,Estambul,Turquía,16000000
25,Teherán,Irán,15300000
26,Londres,Reino Unido,14800000
27,Johannesburgo,Sudáfrica,13900000
28,Río de Janeiro,Brasil,13200000
29,Lahore,Pakistán,13000000
30,Tianjin,China,12700000
31,Kinsasa,Rep. Dem. del Congo,12400000
32,Bangalore,India,12200000
33,Lima,Perú,11825000
34,París,Francia,11400000
35,Chennai,India,11000000
36,Nagoya,Japón,10500000
37,Hyderabad,India,10200000
38,Xiamen,China,10000000
39,Bogotá,Colombia,10000000
40,Chicago,Estados Unidos,9750000
41,Chengdu,China,9600000
42,Taipéi,Taiwán,9150000
43,Wuhan,China,9050000
44,Kuala Lumpur,Malasia,8900000
45,Ciudad Ho Chi Minh,Vietnam,8600000
46,Washington D. C.,Estados Unidos,8550000
47,Ahmedabad,India,8500000
48,Hangzhou,China,8450000
49,Chongqing,China,8150000
50,Luanda,Angola,8150000
51,Riad,Arabia Saudita,8050000
52,Shenyang,China,8000000
53,Singapur,Singapur,7900000
54,San Francisco,Estados Unidos,7850000
55,Boston,Estados Unidos,7750000
56,Shantou,China,7650000
57,Hong Kong,China,7500000
58,Toronto,Canadá,7450000
59,Filadelfia,Estados Unidos,7350000
60,Santiago,Chile,7250000
61,Dallas,Estados Unidos,7200000
62,Bagdad,Irak,7000000
63,Bandung,Indonesia,6950000
64,Xi'an,China,6950000
65,Pune,India,6900000
66,Madrid,España,6779000
67,Houston,Estados Unidos,6750000
68,Nankín,China,6600000
69,Surat,India,6600000
70,Dar es-Salam,Tanzania,6450000
71,Miami,Estados Unidos,6400000
72,Jartum,Sudán,6300000
73,Milán,Italia,6200000
74,Qingdao,China,6100000
75,Surabaya,Indonesia,6100000
76,Nairobi,Kenia,5900000
77,Atlanta,Estados Unidos,5850000
78,Alejandría,Egipto,5700000
79,Detroit,Estados Unidos,5750000
80,Ruhr,Alemania,5700000
81,Caracas,Venezuela,5680000
82,San Petersburgo,Rusia,5650000
83,Monterrey,México,5650000
84,Abiyán,Costa de Marfil,5600000
85,Amán,Jordania,5600000
86,Rangún,Birmania,5600000
87,Barcelona,España,5500000
88,Dubái,Emiratos Árabes Unidos,5350000
89,Guadalajara,México,5350000
90,Wenzhou,China,5350000
91,Sídney,Australia,5300000
92,Acra,Ghana,5100000
93,Harbin,China,5100000
94,Ankara,Turquía,5050000
95,Belo Horizonte,Brasil,5000000
96,Colonia/Düsseldorf,Alemania,5000000
97,Melbourne,Australia,4975000
98,Hefei,China,4950000
99,Yeda,Arabia Saudita,4950000
100,Zhengzhou,China,4950000
