,País,Año,Población,longitud,latitud
0,Afganistán,2018,37172386,65.9979,33.8179
1,Albania,2018,2866376,20.0708,41.1389
2,Alemania,2018,82905782,10.3767,51.0771
3,Andorra,2018,77006,1.5914,42.5422
4,Angola,2018,30809762,17.5818,-12.3604
5,Antigua y Barbuda,2018,96286,-61.8097,17.0785
6,Arabia Saudita,2018,33699947,44.5537,24.1338
7,Argelia,2018,42228429,2.6825,28.1467
8,Argentina,2018,44494502,-63.5885,-31.5807
9,Armenia,2018,2951776,44.9184,40.3035
10,Aruba,2018,105845,-69.9809,12.5249
11,Australia,2018,24982688,134.3612,-25.5817
12,Austria,2018,8840521,14.1373,47.5847
13,Azerbaiyán,2018,9939800,47.6875,40.3449
14,Bahrein,2018,1569439,50.5474,26.0546
15,Bangladesh,2018,161356039,90.2518,23.8479
16,Barbados,2018,286641,-59.5555,13.167
17,Belice,2018,383071,-88.7141,17.1903
18,Bhután,2018,754394,90.4666,27.383
19,Bosnia y Herzegovina,2018,3323929,17.7899,44.1624
20,Botsuana,2018,2254126,23.8028,-22.1802
21,Brasil,2018,209469333,-53.0849,-10.7672
22,Bulgaria,2018,7025037,25.235,42.7546
23,Burkina Faso,2018,19751535,-1.7352,12.2722
24,Burundi,2018,11175378,29.8912,-3.3741
25,Bélgica,2018,11433256,4.6593,50.6429
26,Cabo Verde,2018,543767,-23.9802,15.9412
27,Camboya,2018,16249798,104.9152,12.7146
28,Camerún,2018,25216237,12.7363,5.6658
29,Canadá,2018,37057765,-101.8126,57.6978
30,Chad,2018,15477751,18.6701,15.344
31,Chile,2018,18729160,-69.1554,-22.9087
32,China,2018,1392730000,104.1494,32.3102
33,Chipre,2018,1189265,33.1739,35.0284
34,Colombia,2018,49648685,-73.0781,3.8983
35,Corea del Norte,2018,25549819,127.1899,40.1298
36,Corea del Sur,2018,51606633,127.879,36.467
37,Costa Rica,2018,4999441,-84.1701,9.9959
38,Costa de Marfil,2018,25069229,-5.5466,7.6188
39,Croacia,2018,4087843,16.4894,43.756
40,Cuba,2018,11338138,-79.3227,21.9946
41,Dinamarca,2018,5793636,9.3193,56.0271
42,Dominica,2018,71625,-61.3474,15.4111
43,Ecuador,2018,17084357,-78.3577,-1.4201
44,Egipto,2018,98423595,29.759,26.5649
45,El Salvador,2018,6420744,-88.887,13.7413
46,Emiratos Árabes Unidos,2018,9630959,53.9824,23.4656
47,Eslovaquia,2018,5446771,19.4741,48.7042
48,Eslovenia,2018,2073894,14.8169,46.1277
49,España,2018,46796540,-3.5521,40.3816
50,Estados Unidos de América,2018,326687501,-99.1943,39.537
51,Estonia,2018,1321977,25.8548,58.6709
52,Etiopía,2018,109224559,39.6403,8.6307
53,Finlandia,2018,5515525,26.2795,64.4974
54,Francia,2018,66977107,2.5059,46.6183
55,Gabón,2018,2119275,11.7646,-0.6157
56,Georgia,2018,3726549,43.2962,42.0572
57,Ghana,2018,29767108,-1.1985,7.9616
58,Gibraltar,2018,33718,-5.3461,36.1432
59,Granada,2018,111454,-61.6809,12.1196
60,Grecia,2018,10731726,22.5402,39.4982
61,Groenlandia,2018,56025,-41.388,74.7663
62,Guam,2018,165768,144.717,13.3633
63,Guatemala,2018,17247807,-91.2288,15.0125
64,Guinea,2018,12414318,-11.3051,11.0087
65,Guinea Ecuatorial,2018,1308974,10.4688,1.5921
66,Guyana,2018,779004,-58.9618,4.803
67,Haití,2018,11123176,-72.3646,18.3858
68,Honduras,2018,9587522,-86.6222,14.8298
69,Hungría,2018,9775564,19.4066,47.1616
70,India,2018,1352617328,79.4676,22.349
71,Indonesia,2018,267663435,117.2774,-2.2261
72,Irak,2018,38433600,43.7557,33.0425
73,Irlanda,2018,4867309,-8.0902,53.1794
74,Irán,2018,81800269,54.3046,32.5758
75,Isla de Man,2018,84077,-4.5444,54.2285
76,Islandia,2018,352721,-18.8569,64.756
77,Islas Salomón,2018,652858,159.6008,-8.8995
78,Islas Vírgenes de los Estados Unidos,2018,106977,-64.7971,17.7318
79,Israel,2018,8882800,34.6195,31.0661
80,Italia,2018,60421760,12.5322,42.837
81,Jamaica,2018,2934855,-77.3447,18.1775
82,Japón,2018,126529100,139.1928,36.6179
83,Jordania,2018,9956011,37.079,30.6751
84,Kenia,2018,51393010,37.8606,0.5355
85,Kirguistán,2018,6322800,74.5847,41.4529
86,Kiribati,2018,115847,-157.4016,1.8716
87,Kuwait,2018,4137309,47.4932,29.4908
88,Letonia,2018,1927174,26.382,56.6829
89,Liberia,2018,4818977,-9.3276,6.4433
90,Libia,2018,6678567,18.0429,27.0102
91,Liechtenstein,2018,37910,9.5534,47.1383
92,Lituania,2018,2801543,23.9197,55.3351
93,Luxemburgo,2018,607950,6.0943,49.771
94,Líbano,2018,6848925,35.8942,33.9289
95,Macao,2018,631636,113.5458,22.1975
96,Madagascar,2018,26262368,46.6955,-19.408
97,Malasia,2018,31528585,114.4128,2.8757
98,Malawi,2018,18143315,35.1203,-15.2608
99,Mali,2018,19077690,-3.5043,17.3709
100,Malta,2018,484630,14.4312,35.886
101,Marruecos,2018,36029138,-6.2981,31.8381
102,Mauricio,2018,1265303,57.576,-20.2772
103,Mauritania,2018,4403319,-10.3164,20.2616
104,Mongolia,2018,3170208,103.0489,46.8315
105,Montenegro,2018,622227,19.269,42.7721
106,Mozambique,2018,29495962,38.1448,-14.313
